type;class_name;annotation_description;member_name
class;com.azure.ai.agents.models.VoiceAgentEchoCancellation;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentEchoCancellationReferenceSource;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentEndConversationSystemTool;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentEndOfUtteranceDetection;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentEndOfUtteranceDetectionModel;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentEndOfUtteranceThresholdLevel;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentFunctionTool;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentFunctionToolType;Preview API.;
class;com.azure.ai.agents.models.VoiceAgentGreetingConfiguration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentInputTranscription;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentInputTranscriptionModel;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentInterimResponseConfiguration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentInterimResponseTrigger;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentLlmGeneratedGreetingConfiguration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentLlmInterimResponseConfiguration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentMaxOutputTokens;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentMcpTool;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentNoiseReduction;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentNoiseReductionType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentRealtimeResponse;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentRealtimeResponseBase;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentResponseAnimationBlendshapeDeltaEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentResponseAnimationBlendshapeDoneEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentResponseAnimationVisemeDeltaEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentResponseAnimationVisemeDoneEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentResponseAudioConfig;Preview API.;
class;com.azure.ai.agents.models.VoiceAgentResponseAudioTimestampDeltaEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentResponseAudioTimestampDoneEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentResponseCreateOptions;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentResponseVideoDeltaEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentRtcCallErrorDetails;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentRtcCallErrorEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentRtcCallSdpCreatedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentRtcCallSdpCreateEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSemanticVadTurnDetection;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentServerEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentServerVadTurnDetection;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSessionAvatarConfiguration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSessionAvatarConnectEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSessionAvatarConnectingEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSessionAvatarSwitchToIdleEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSessionAvatarSwitchToSpeakingEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSessionIncludeOption;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSessionResponse;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSessionResponseConfiguration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSessionSubagentAbortedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSessionSubagentCompletedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSessionSubagentStartedEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSessionUpdate;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSessionUpdateConfiguration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentStaticInterimResponseConfiguration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSubagent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSubagentAbortReason;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSubagentConfiguration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSubagentResponsePolicy;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSystemTool;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentSystemToolName;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentTemplateGreetingConfiguration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentTool;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentToolboxTool;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentToolResponseScheduling;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentTranscriptionPhrase;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentTranscriptionWord;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentTransport;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentTurnDetectionConfiguration;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentTurnDetectionType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentWarningDetails;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentWarningEvent;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAgentWebSocketMessage;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAudioCodec;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAudioContainerFormat;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAudioItem;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceAudioRole;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceConversation;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceConversationEngine;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceConversationStatus;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceGeneratedAudioItem;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceHostedAgentConversationEngine;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceIds;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceModelType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceOutputModality;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceRecording;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceRecordingChannelLayout;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceResponse;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceResponseAudio;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceResponseAudioOutput;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceResponseBase;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.VoiceResponseBaseObject;Preview API.;
class;com.azure.ai.agents.models.VoiceType;Preview API. VoiceAgents=V1Preview;
class;com.azure.ai.agents.models.WebIqPreviewTool;Preview API. preview_tool;
class;com.azure.ai.agents.models.WebIqPreviewToolboxTool;Preview API. preview_tool;
class;com.azure.ai.agents.models.WorkflowAgentDefinition;Preview API. WorkflowAgents=V1Preview;
class;com.azure.ai.agents.models.WorkIqPreviewTool;Preview API. preview_tool;
class;com.azure.ai.agents.models.WorkIqPreviewToolboxTool;Preview API. preview_tool;
